 	U+0020 (alt-032)	SPACE
Е  	U+0415 (alt-01045)	CYRILLIC CAPITAL LETTER IE
Ж  	U+0416 (alt-01046)	CYRILLIC CAPITAL LETTER ZHE
З  	U+0417 (alt-01047)	CYRILLIC CAPITAL LETTER ZE
И  	U+0418 (alt-01048)	CYRILLIC CAPITAL LETTER I
Й  	U+0419 (alt-01049)	CYRILLIC CAPITAL LETTER SHORT I
К  	U+041A (alt-01050)	CYRILLIC CAPITAL LETTER KA
Л  	U+041B (alt-01051)	CYRILLIC CAPITAL LETTER EL
М  	U+041C (alt-01052)	CYRILLIC CAPITAL LETTER EM
Н  	U+041D (alt-01053)	CYRILLIC CAPITAL LETTER EN
О  	U+041E (alt-01054)	CYRILLIC CAPITAL LETTER O
П  	U+041F (alt-01055)	CYRILLIC CAPITAL LETTER PE
Р  	U+0420 (alt-01056)	CYRILLIC CAPITAL LETTER ER
С  	U+0421 (alt-01057)	CYRILLIC CAPITAL LETTER ES
Т  	U+0422 (alt-01058)	CYRILLIC CAPITAL LETTER TE
У  	U+0423 (alt-01059)	CYRILLIC CAPITAL LETTER U
Ф  	U+0424 (alt-01060)	CYRILLIC CAPITAL LETTER EF
Х  	U+0425 (alt-01061)	CYRILLIC CAPITAL LETTER HA
Ц  	U+0426 (alt-01062)	CYRILLIC CAPITAL LETTER TSE
Ч  	U+0427 (alt-01063)	CYRILLIC CAPITAL LETTER CHE
Ш  	U+0428 (alt-01064)	CYRILLIC CAPITAL LETTER SHA
Щ  	U+0429 (alt-01065)	CYRILLIC CAPITAL LETTER SHCHA
Ъ  	U+042A (alt-01066)	CYRILLIC CAPITAL LETTER HARD SIGN
Ы  	U+042B (alt-01067)	CYRILLIC CAPITAL LETTER YERU
Ь  	U+042C (alt-01068)	CYRILLIC CAPITAL LETTER SOFT SIGN
Э  	U+042D (alt-01069)	CYRILLIC CAPITAL LETTER E
Ю  	U+042E (alt-01070)	CYRILLIC CAPITAL LETTER YU
Я  	U+042F (alt-01071)	CYRILLIC CAPITAL LETTER YA
а  	U+0430 (alt-01072)	CYRILLIC SMALL LETTER A
б  	U+0431 (alt-01073)	CYRILLIC SMALL LETTER BE
в  	U+0432 (alt-01074)	CYRILLIC SMALL LETTER VE
г  	U+0433 (alt-01075)	CYRILLIC SMALL LETTER GHE
д  	U+0434 (alt-01076)	CYRILLIC SMALL LETTER DE
е  	U+0435 (alt-01077)	CYRILLIC SMALL LETTER IE
ж  	U+0436 (alt-01078)	CYRILLIC SMALL LETTER ZHE
з  	U+0437 (alt-01079)	CYRILLIC SMALL LETTER ZE
и  	U+0438 (alt-01080)	CYRILLIC SMALL LETTER I
й  	U+0439 (alt-01081)	CYRILLIC SMALL LETTER SHORT I
к  	U+043A (alt-01082)	CYRILLIC SMALL LETTER KA
л  	U+043B (alt-01083)	CYRILLIC SMALL LETTER EL
м  	U+043C (alt-01084)	CYRILLIC SMALL LETTER EM
н  	U+043D (alt-01085)	CYRILLIC SMALL LETTER EN
о  	U+043E (alt-01086)	CYRILLIC SMALL LETTER O
п  	U+043F (alt-01087)	CYRILLIC SMALL LETTER PE
р  	U+0440 (alt-01088)	CYRILLIC SMALL LETTER ER
с  	U+0441 (alt-01089)	CYRILLIC SMALL LETTER ES
т  	U+0442 (alt-01090)	CYRILLIC SMALL LETTER TE
у  	U+0443 (alt-01091)	CYRILLIC SMALL LETTER U
ф  	U+0444 (alt-01092)	CYRILLIC SMALL LETTER EF
х  	U+0445 (alt-01093)	CYRILLIC SMALL LETTER HA
ц  	U+0446 (alt-01094)	CYRILLIC SMALL LETTER TSE
ч  	U+0447 (alt-01095)	CYRILLIC SMALL LETTER CHE
ш  	U+0448 (alt-01096)	CYRILLIC SMALL LETTER SHA
щ  	U+0449 (alt-01097)	CYRILLIC SMALL LETTER SHCHA
ъ  	U+044A (alt-01098)	CYRILLIC SMALL LETTER HARD SIGN
ы  	U+044B (alt-01099)	CYRILLIC SMALL LETTER YERU
ь  	U+044C (alt-01100)	CYRILLIC SMALL LETTER SOFT SIGN
э  	U+044D (alt-01101)	CYRILLIC SMALL LETTER E
ю  	U+044E (alt-01102)	CYRILLIC SMALL LETTER YU
я  	U+044F (alt-01103)	CYRILLIC SMALL LETTER YA
Ỳ  	U+1EF2 (alt-07922)	LATIN CAPITAL LETTER Y WITH GRAVE
